roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
371,paper,paper,scissors,lose,order-1,True,0.0028,1787898732473
372,scissors,scissors,rock,lose,order-2,True,0.003,1787898732573
373,rock,rock,paper,lose,order-2,True,0.0031,1787898732673
374,paper,paper,scissors,lose,order-1,True,0.0027,1787898732773
375,scissors,scissors,rock,lose,order-2,True,0.0027,1787898732873
376,rock,rock,paper,lose,random,True,0.0031,1787898732973
377,paper,paper,scissors,lose,order-1,True,0.0027,1787898733073
378,scissors,scissors,rock,lose,order-2,True,0.0027,1787898733173
379,rock,rock,paper,lose,order-2,True,0.0028,1787898733273
380,paper,paper,scissors,lose,order-1,True,0.0027,1787898733373
381,scissors,scissors,rock,lose,order-2,True,0.0028,1787898733473
382,rock,rock,paper,lose,order-2,True,0.0028,1787898733573
383,paper,paper,scissors,lose,order-1,True,0.0027,1787898733673
384,scissors,scissors,rock,lose,order-2,True,0.0032,1787898733773
385,rock,rock,paper,lose,order-2,True,0.0027,1787898733873
386,paper,paper,scissors,lose,order-1,True,0.0028,1787898733973
387,scissors,scissors,rock,lose,order-2,True,0.003,1787898734073
388,rock,rock,paper,lose,order-2,True,0.0034,1787898734173
389,paper,paper,scissors,lose,order-1,True,0.0028,1787898734273
390,scissors,scissors,rock,lose,order-2,True,0.003,1787898734373
391,rock,rock,paper,lose,order-2,True,0.0029,1787898734473
392,paper,paper,scissors,lose,order-1,True,0.0028,1787898734574
393,scissors,scissors,rock,lose,order-2,True,0.0027,1787898734674
394,rock,rock,paper,lose,order-2,True,0.0028,1787898734774
395,paper,paper,scissors,lose,order-1,True,0.0027,1787898734874
396,scissors,scissors,rock,lose,order-2,True,0.0029,1787898734974
397,rock,rock,paper,lose,order-2,True,0.0028,1787898735074
398,paper,paper,scissors,lose,order-1,True,0.0028,1787898735174
399,scissors,scissors,rock,lose,order-2,True,0.0027,1787898735274
400,rock,rock,paper,lose,order-2,True,0.0027,1787898735374
401,paper,paper,scissors,lose,order-1,True,0.0028,1787898735474
402,scissors,scissors,rock,lose,order-2,True,0.0029,1787898735574
403,rock,rock,paper,lose,order-2,True,0.0027,1787898735674
404,paper,paper,scissors,lose,order-1,True,0.0028,1787898735774
405,scissors,scissors,rock,lose,order-2,True,0.0033,1787898735874
406,rock,rock,paper,lose,order-2,True,0.003,1787898735974
407,paper,paper,scissors,lose,order-1,True,0.0027,1787898736074
408,scissors,scissors,rock,lose,order-2,True,0.0027,1787898736174
409,rock,rock,paper,lose,order-2,True,0.0027,1787898736274
410,paper,paper,scissors,lose,order-1,True,0.0028,1787898736374
411,scissors,scissors,rock,lose,order-2,True,0.0028,1787898736474
412,rock,rock,paper,lose,order-2,True,0.0027,1787898736574
413,paper,paper,scissors,lose,order-1,True,0.0028,1787898736674
414,scissors,scissors,rock,lose,order-2,True,0.0027,1787898736774
415,rock,rock,paper,lose,order-2,True,0.0027,1787898736874
416,paper,paper,scissors,lose,order-1,True,0.0027,1787898736974
417,scissors,scissors,rock,lose,order-2,True,0.0027,1787898737074
418,rock,rock,paper,lose,order-2,True,0.0029,1787898737174
419,paper,paper,scissors,lose,order-1,True,0.0028,1787898737274
420,scissors,scissors,rock,lose,order-2,True,0.0028,1787898737374
421,rock,rock,paper,lose,order-2,True,0.003,1787898737474
422,paper,paper,scissors,lose,order-1,True,0.0028,1787898737574
423,scissors,scissors,rock,lose,order-2,True,0.0027,1787898737674
424,rock,rock,paper,lose,order-2,True,0.0026,1787898737774
425,paper,paper,scissors,lose,order-1,True,0.0029,1787898737874
426,scissors,scissors,rock,lose,order-2,True,0.0031,1787898737974
