roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
252,rock,rock,paper,lose,order-1,True,0.0025,1787898720537
253,rock,rock,paper,lose,order-1,True,0.003,1787898720637
254,rock,rock,paper,lose,order-1,True,0.0046,1787898720737
255,rock,rock,scissors,win,random,True,0.0042,1787898720837
256,rock,rock,paper,lose,order-1,True,0.0043,1787898720937
257,rock,rock,paper,lose,order-1,True,0.0048,1787898721037
258,rock,rock,paper,lose,order-1,True,0.0049,1787898721137
259,rock,rock,paper,lose,order-1,True,0.005,1787898721237
260,rock,rock,paper,lose,order-1,True,0.0028,1787898721337
261,rock,rock,paper,lose,order-1,True,0.0026,1787898721437
262,rock,rock,paper,lose,order-1,True,0.0028,1787898721537
263,rock,rock,paper,lose,order-1,True,0.0029,1787898721637
264,rock,rock,paper,lose,order-1,True,0.0027,1787898721737
265,rock,rock,paper,lose,order-1,True,0.0026,1787898721837
266,rock,rock,paper,lose,order-1,True,0.0028,1787898721937
267,rock,rock,paper,lose,order-1,True,0.0028,1787898722037
268,rock,rock,paper,lose,order-1,True,0.0032,1787898722137
269,rock,rock,paper,lose,order-1,True,0.0033,1787898722237
270,rock,rock,paper,lose,order-1,True,0.0061,1787898722337
271,rock,rock,paper,lose,order-1,True,0.005,1787898722437
272,rock,rock,paper,lose,order-1,True,0.0265,1787898722537
273,rock,rock,paper,lose,order-1,True,0.005,1787898722637
274,rock,rock,paper,lose,order-1,True,0.0049,1787898722737
275,rock,rock,paper,lose,order-1,True,0.0085,1787898722837
276,rock,rock,paper,lose,random,True,0.0066,1787898722937
277,rock,rock,paper,lose,order-1,True,0.0065,1787898723037
278,rock,rock,paper,lose,order-1,True,0.0065,1787898723137
279,rock,rock,paper,lose,order-1,True,0.0077,1787898723237
280,rock,rock,rock,tie,random,True,0.0106,1787898723337
281,rock,rock,paper,lose,order-1,True,0.0041,1787898723437
282,rock,rock,paper,lose,order-1,True,0.0044,1787898723537
283,rock,rock,paper,lose,order-1,True,0.0089,1787898723637
284,rock,rock,paper,lose,order-1,True,0.0056,1787898723737
285,rock,rock,paper,lose,order-1,True,0.0044,1787898723837
286,rock,rock,paper,lose,order-1,True,0.0093,1787898723937
287,rock,rock,paper,lose,order-1,True,0.0062,1787898724037
288,rock,rock,paper,lose,order-1,True,0.0055,1787898724137
289,rock,rock,paper,lose,order-1,True,0.0055,1787898724237
290,rock,rock,paper,lose,order-1,True,0.0043,1787898724337
291,rock,rock,paper,lose,order-1,True,0.0043,1787898724437
292,rock,rock,paper,lose,order-1,True,0.0051,1787898724538
293,rock,rock,paper,lose,order-1,True,0.0046,1787898724638
294,rock,rock,paper,lose,order-1,True,0.0039,1787898724738
295,rock,rock,paper,lose,order-1,True,0.004,1787898724838
296,rock,rock,scissors,win,random,True,0.0083,1787898724938
297,rock,rock,paper,lose,order-1,True,0.0162,1787898725038
298,rock,rock,paper,lose,order-1,True,0.0071,1787898725138
299,rock,rock,paper,lose,order-1,True,0.0086,1787898725238
300,rock,rock,paper,lose,order-1,True,0.0045,1787898725338
301,rock,rock,paper,lose,order-1,True,0.0058,1787898725438
302,rock,rock,paper,lose,order-1,True,0.0052,1787898725538
303,rock,rock,paper,lose,order-1,True,0.0086,1787898725638
304,rock,rock,paper,lose,order-1,True,0.0062,1787898725738
305,rock,rock,scissors,win,random,True,0.006,1787898725838
306,rock,rock,paper,lose,order-1,True,0.0051,1787898725938
307,rock,rock,paper,lose,order-1,True,0.0045,1787898726038
308,rock,rock,paper,lose,order-1,True,0.0063,1787898726138
309,rock,rock,paper,lose,order-1,True,0.0047,1787898726238
310,rock,rock,paper,lose,random,True,0.0059,1787898726338
311,rock,rock,paper,lose,order-1,True,0.0046,1787898726438
312,rock,rock,paper,lose,order-1,True,0.0099,1787898726538
313,rock,rock,paper,lose,order-1,True,0.0057,1787898726638
314,rock,rock,rock,tie,random,True,0.0081,1787898726738
315,rock,rock,paper,lose,order-1,True,0.0083,1787898726838
316,rock,rock,paper,lose,random,True,0.0075,1787898726938
317,rock,rock,paper,lose,order-1,True,0.0045,1787898727038
318,rock,rock,paper,lose,order-1,True,0.0041,1787898727138
319,rock,rock,rock,tie,random,True,0.0064,1787898727238
320,rock,rock,paper,lose,order-1,True,0.0081,1787898727338
321,rock,rock,paper,lose,order-1,True,0.0052,1787898727438
